#  Timestamp,  Temperature [2 m elevation corrected], Relative Humidity [2 m], Wind Speed [10 m], Wind Direction [10 m]
20201205 1900,-5.3818116,77.0,12.661564,194.82648
20201205 2000,-5.461812,74.0,14.081478,184.39871
20201205 2100,-5.831812,74.0,16.199999,180.0
20201205 2200,-6.681812,79.0,18.0,180.0
20201205 2300,-7.001812,82.0,19.08,180.0
20201206 0000,-6.9918118,82.0,20.883104,180.98776
20201206 0100,-7.0518117,82.0,21.67487,184.76364
20201206 0200,-5.9918118,77.0,22.881956,192.72435
20201206 0300,-5.791812,78.0,24.94413,200.2657
20201206 0400,-6.271812,82.0,25.455843,208.73979
20201206 0500,-6.3818116,84.0,24.122686,217.72499
20201206 0600,-5.891812,81.0,22.065973,213.69006
20201206 0700,-6.201812,82.0,22.66857,223.06941
20201206 0800,-6.831812,82.0,21.26744,236.04094
20201206 0900,-7.0718117,84.0,19.652176,241.55707
20201206 1000,-5.731812,85.0,20.858265,248.7495
20201206 1100,-4.081812,86.0,20.898611,259.0772
20201206 1200,-2.541812,87.0,21.2522,268.05853
20201206 1300,-1.7218119,89.0,19.45333,267.8789
20201206 1400,-1.751812,91.0,17.414476,262.875
20201206 1500,-2.631812,92.0,18.72,270.0
20201206 1600,-4.091812,90.0,18.775301,274.3987
20201206 1700,-4.851812,89.0,17.731598,275.82635
20201206 1800,-3.5818121,77.0,11.720751,259.38034
20201206 1900,-3.041812,69.0,14.118243,250.641
20201206 2000,-3.051812,65.0,13.281023,237.17145
20201206 2100,-4.141812,69.0,15.072783,229.84401
20201206 2200,-5.521812,77.0,17.072504,227.56378
20201206 2300,-6.3618116,82.0,17.566378,225.83032
20201207 0000,-6.9918118,85.0,17.339897,228.36647
20201207 0100,-7.471812,86.0,15.021105,225.97102
20201207 0200,-7.951812,88.0,14.277983,236.30994
20201207 0300,-7.3018117,89.0,12.538134,230.82635
20201207 0400,-7.2618117,89.0,12.768586,220.42609
20201207 0500,-6.161812,90.0,14.480773,235.12466
20201207 0600,-5.081812,88.0,16.42247,243.99666
20201207 0700,-5.3018117,86.0,16.039202,224.09062
20201207 0800,-6.1518116,87.0,18.218275,232.22432
20201207 0900,-6.0318117,86.0,22.180206,234.24612
20201207 1000,-3.891812,86.0,22.728518,240.59282
20201207 1100,-2.1118119,92.0,24.387178,238.89119
20201207 1200,-0.23181196,95.0,28.33957,244.41148
20201207 1300,0.6881881,97.0,31.89608,253.61046
20201207 1400,0.748188,99.0,32.37999,261.68973
20201207 1500,0.71818805,99.0,36.0,270.0
20201207 1600,-0.08181196,97.0,34.353127,275.41187
20201207 1700,0.17818806,97.0,31.205997,281.30994
20201207 1800,-0.08181196,92.0,17.935081,259.5923
20201207 1900,-1.031812,90.0,18.218275,240.39555
